FDs Used,fs,fd,ms,md
['HOG'],0.7435,0.6721,0.6545,0.713
['LBP'],0.7598,0.6682,0.6458,0.7127
['SIFT'],0.7597,0.6342,0.6589,0.681
['VGG'],0.6829,0.653,0.7495,0.7444

['HOG' 'LBP'],0.7662,0.6869,0.6808,0.7487
['HOG' 'SIFT'],0.7499,0.6907,0.6851,0.741
['LBP' 'SIFT'],0.7663,0.6567,0.6893,0.7053
['HOG' 'VGG'],0.7885,0.7054,0.7279,0.7796
['LBP' 'VGG'],0.7858,0.7245,0.7101,0.757
['SIFT' 'VGG'],0.7821,0.6981,0.7674,0.7944

['HOG' 'LBP' 'SIFT'],0.7629,0.6792,0.7109,0.7639
['HOG' 'LBP' 'VGG'],0.7985,0.7132,0.7319,0.7724
['HOG' 'SIFT' 'VGG'],0.798,0.6869,0.7453,0.7716
['LBP' 'SIFT' 'VGG'],0.792,0.7057,0.7322,0.7836

['HOG' 'LBP' 'SIFT' 'VGG'],0.8015,0.7167,0.7629,0.7921

